fk_country,fk_year,gdp,pop
159,11,38092452060.6201,8027702.0
160,11,112137757.244855,442865.0
161,11,18432031.3616959,54379.0
162,11,1780104712.04188,6319199.0
163,11,469266736.605177,3667394.0
164,11,127296133183.013,17426659793626.2
165,11,253976626.166639,2197383.0
166,11,7086538437.5,35791728.0
167,11,163015231630.576,4478206456171.96
168,11,36710755341.4764,1180179221398.0
169,11,36710755341.4764,86484.0
170,11,85737283039.6523,3386420411905.1
171,11,63016042902.529,1705379934850.61
172,11,821850000.0,988890.0
173,11,1439238095.2381,5047404.0
174,11,17086956521.7391,35540990.0
175,11,1260084033.61345,10317212.0
176,11,428332259709.144,23150665555175.7
177,11,2137096774.19355,2790265.0
178,11,1073303000000.0,200328340.0
179,11,18450000.0,98459.0
180,11,11561111111.1111,11355475.0
181,11,11561111111.1111,87019.0
182,11,2987137961245.15,84746979120044.5
183,11,2987137961245.15,142771.0
184,11,18418392640.3787,22368306.0
185,11,1825285714.28571,4281671.0
186,11,1884206300.0,5202918.0
1,21,156512735720.642,920792331527.746
2,21,3641723321.99546,12486631.0
3,21,112031316716.518,784587603322.866
4,21,446416105.825017,35611.0
5,21,43598748449.0479,1014048.0
6,21,76961923741.9479,28024803.0
7,21,131431026.666667,64889.0
8,21,150032311977.716,14706322.0
9,21,82058912997.2346,7547561.0
10,21,919726666.666667,4312834.0
11,21,126829314388.191,9828986.0
12,21,1405251547.23882,3833939.0
13,21,1928719477.41287,6932967.0
14,21,18138049095.6072,83929765.0
15,21,19839230769.2308,8980606.0
16,21,3072698328.46909,362595.0
17,21,1335300000.0,223752.0
18,21,197938222.429283,145133.0
19,21,613299968.0,53565.0
20,21,4526916802.61011,5736088.0
21,21,237393489892.637,122288383.0
22,21,1012280614.52792,253575.0
23,21,4928824957.96749,187921.0
24,21,128717410.9125,415257.0
25,21,1060923829.13021,938578.0
26,21,797048028.773247,2415276.0
27,21,273853826548.067,24511510.0
28,21,122660905890.076,6319113.0
29,21,29036709871.7949,11469828.0
30,21,191149211575.0,982372466.0
31,21,10175615441.8127,8303810.0
32,21,6674567625.0807,8519891.0
33,21,14394927494.8647,26708686.0
34,21,1705796849.54659,1829256.0
35,21,33400735644.0481,26176195.0
36,21,212218226.429847,328328.0
37,21,142246875.536716,317234.0
38,21,4831447001.16686,2414303.0
39,21,13495267729.8259,66039332389.2884
40,21,19912889861.1111,9809107.0
41,21,2154311276.94859,679327.0
42,21,950290856466.538,77786703.0
43,21,72804653.3333333,72978.0
44,21,71127528699.9414,5125392.0
45,21,6761300000.0,5755800.0
46,21,42346380830.7708,18739378.0
47,21,378093551183.646,17448894596355.7
48,21,1324020502789.41,10668243564848.3
49,21,1815777516203.94,27097404937164.8
50,21,4580889964218.55,22121578723066.8
51,21,17881514682.8784,8135845.0
52,21,21669908177.0664,43748556.0
53,21,2962180543669.06,13021049031268.7
54,21,232766822928.754,37491666.0
55,21,232766822928.754,34945469.0
56,21,53645202422.6968,4779418.0
57,21,1202567359.4132,644582.0
58,21,701288419745.421,53713830.0
