Guinea-Bissau Guinea-Bissau,1 013,1 165,1 046,1 141,1 301,1 551,1 902,2 012
Guyana Guyana,3 033,4 795,5 904,6 771,9 352,11 382,19 440,24 087
Haiti Haiti,2 179,1 972,2 213,2 414,2 684,2 935,3 121,3 153
Honduras Honduras,2 010,2 292,2 556,3 167,3 719,4 729,5 304,6 122
Hongkong Hongkong,18 250,24 711,28 221,38 075,49 191,56 409,58 949,65 892
Maďarsko Maďarsko,-,9 193,11 855,17 112,21 752,26 807,34 061,36 765
Čad Čad,714,751,774,1 561,1 829,1 816,1 571,1 566
Chile Chile,4 437,7 250,9 468,12 685,18 105,22 691,24 808,28 372
Čína Čína,981,1 861,2 917,5 056,9 255,12 898,17 189,19 338
Island Island,-,23 956,29 783,37 323,39 775,49 201,54 714,57 967
Indie Indie,1 204,1 572,2 087,2 937,4 216,5 412,6 449,7 242
Indonésie Indonésie,3 070,4 490,4 682,6 189,8 431,10 219,12 146,13 027
Írán Írán,7 592,9 082,10 871,14 738,18 349,13 828,15 223,16 484
Irák Irák,-,4 570,10 539,9 360,12 099,9 199,9 408,9 846
Irsko Irsko,13 744,18 945,30 210,40 466,43 203,69 029,93 942,105 355
Izrael Izrael,-,19 663,25 012,24 854,28 843,35 470,39 620,43 451
Itálie Itálie,18 639,22 396,27 076,30 131,35 158,36 899,43 035,46 374
Jamajka Jamajka,4 816,6 289,6 452,7 735,8 122,9 096,9 702,10 543
Japonsko Japonsko,19 581,23 859,27 287,32 170,35 335,40 899,41 517,42 140
Jordánsko Jordánsko,4 492,5 357,6 009,8 172,9 912,9 238,9 707,10 133
Kazachstán Kazachstán,8 262,5 918,7 725,13 942,19 227,23 224,26 750,28 685
Keňa Keňa,1 709,1 799,1 894,2 186,2 640,3 764,4 745,5 211
Kiribati Kiribati,1 208,1 301,1 494,1 633,1 624,1 981,2 051,2 128
Jižní Korea Jižní Korea,8 355,13 503,18 539,25 187,31 737,37 902,44 698,46 889
Kosovo Kosovo,-,-,-,-,7 231,9 357,11 293,13 056
Kuvajt Kuvajt,-,58 082,59 312,85 033,75 194,46 347,46 328,-
Kyrgyzstán Kyrgyzstán,2 544,1 401,1 862,2 385,3 086,4 215,4 985,5 290
Laos Laos,1 011,1 349,1 794,2 526,3 778,6 126,8 189,8 621
Lotyšsko Lotyšsko,-,5 518,8 041,13 914,17 707,24 973,32 103,34 258
Libanon Libanon,2 991,6 797,7 953,10 079,14 835,15 380,14 536,14 257
Lesotho Lesotho,769,1 046,1 276,1 660,2 124,2 991,2 418,2 522
Libérie Libérie,-,-,976,782,989,1 273,1 460,1 564
Libye Libye,-,-,21 215,26 996,30 257,22 163,17 851,24 131
Litva Litva,-,5 931,8 447,14 511,20 097,28 834,39 913,43 185
Lucembursko Lucembursko,29 951,38 348,55 125,68 788,90 360,107 860,118 962,133 330
Macao Macao,26 720,35 428,34 584,58 695,96 182,113 814,58 180,71 186
Madagaskar Madagaskar,1 183,1 125,1 258,1 369,1 494,1 508,1 515,1 608
Malawi Malawi,656,808,958,1 052,1 432,1 429,1 571,1 638
Malajsie Malajsie,7 010,10 822,13 039,16 314,20 147,24 165,27 246,28 929
Maledivy Maledivy,-,6 074,8 358,9 312,12 860,17 513,14 154,20 615
Mali Mali,759,903,1 104,1 482,1 732,1 957,2 240,2 330
Malta Malta,8 847,12 237,19 503,22 276,28 722,37 455,44 583,48 894
Marshallovy ostrovy Marshallovy ostrovy,2 023,2 702,2 286,2 876,3 363,4 077,6 024,6 550
Mauritánie Mauritánie,2 673,2 972,2 965,3 637,4 182,4 307,5 606,5 831
Mauricius Mauricius,5 008,6 768,9 139,11 698,15 912,19 748,21 332,23 035
Mexiko Mexiko,8 304,8 645,11 206,12 725,15 467,18 562,18 523,19 585
Mikronésie Mikronésie,1 728,2 241,2 391,2 786,3 124,3 332,3 645,3 642
Moldavsko Moldavsko,-,3 182,3 079,4 921,6 395,9 250,12 870,15 390
Mongolsko Mongolsko,3 378,3 083,3 644,5 357,7 631,10 769,12 306,12 819
Černá Hora Černá Hora,-,-,6 003,8 314,13 636,16 333,20 509,23 435
Maroko Maroko,2 575,2 924,3 610,4 815,6 322,7 670,7 959,8 853
Mosambik Mosambik,284,325,476,708,978,1 301,1 301,1 348
Myanmar (Barma) Myanmar (Barma),412,567,846,1 660,3 033,4 201,5 218,4 430
Namibie Namibie,3 876,4 500,5 127,6 779,8 580,10 783,9 544,10 039
Nauru Nauru,-,-,-,4 215,5 834,12 211,12 613,13 125
Nepál Nepál,826,1 055,1 316,1 629,2 153,2 932,3 968,4 210
Nizozemsko Nizozemsko,19 176,23 447,31 875,37 626,45 043,50 289,60 085,63 742
