Svatý,3 936,5 225,6 487,9 017,10 623,12 425,14 211,15 045
Súdán,1 520,1 989,2 732,3 558,3 954,4 519,4 087,4 066
Surinam,6 488,6 920,7 497,10 073,13 129,16 721,16 169,16 223
Švédsko,20 426,23 108,29 622,34 244,42 223,49 103,55 564,59 223
Švýcarsko,28 487,30 870,36 778,41 749,54 858,66 020,71 984,77 121
Tádžikistán,2 573,1 011,1 038,1 671,2 300,3 125,3 852,4 288
Tanzanie,922,976,1 157,1 587,2 053,2 301,2 691,2 836
Thajsko,4 411,6 862,7 281,10 198,12 989,15 467,17 771,18 761
Východní,4 411,6 862,1 258,1 404,1 948,2 890,5 122,5 529
Togo,1 090,1 118,1 284,1 331,1 503,1 841,2 180,2 334
Tonga,2 141,2 976,3 480,4 121,4 465,5 484,6 705,6 749
Trinidad,6 799,9 010,13 821,22 251,28 754,27 661,24 672,25 308
Tunisko,3 728,4 619,6 197,8 012,10 429,10 471,10 572,11 282
Turecko,8 468,10 257,9 499,11 864,17 334,25 392,27 722,30 444
Turkmenistán,5 378,3 376,4 221,5 676,9 475,13 213,27 722,30 444
Tuvalu,1 596,2 005,2 523,2 686,2 976,3 785,5 105,5 410
Uganda,665,896,1 123,1 497,2 094,2 171,2 363,2 468
Ukrajina,7 614,4 136,4 260,7 214,8 560,10 164,13 087,14 220
Spojené,83 843,88 932,94 016,104 732,65 412,69 706,71 374,76 609
Spojené,17 117,20 630,26 476,32 747,36 576,42 913,46 755,50 810
Spojené,23 889,28 691,36 330,44 123,48 651,56 763,63 028,69 288
Uruguay,6 368,8 470,10 329,11 600,16 852,20 272,23 024,25 049
Uzbekistán,2 659,2 191,2 659,3 644,5 470,6 680,7 746,8 497
Vanuatu,1 638,1 921,2 139,2 215,2 653,2 778,2 992,3 057
Venezuela,9 533,11 388,11 623,13 543,16 582,2 778,2 992,3 057
Vietnam,1 184,1 799,2 553,3 797,5 391,7 596,11 023,11 676
Svět,5 552,6 580,8 006,10 150,12 875,15 092,17 149,18 605
Jemen,1 809,2 288,2 763,3 328,3 895,15 092,17 149,18 605
Zambie,1 541,1 519,1 730,2 242,3 136,3 353,3 358,3 556
Zimbabwe,1 794,1 978,2 237,1 655,1 804,2 615,2 099,2 324
